HUD AMP #,TDS #,CONSOLIDATED TDS #,DEVELOPMENT EDP #,OPERATING EDP #,HUD #,DEVELOPMENT NAME,METHOD,TYPE,PROGRAM,# OF SECTION 8 TRANSITION UNITS,# OF CURRENT UNITS,TOTAL NUMBER OF UNITS,NUMBER OF RENTAL ROOMS,AVG. NO. R/R PER UNIT,POPULATION - SECTION 8 TRANSITION,POPULATION - PUBLIC HOUSING,TOTAL POPULATION,# OF RESIDENTIAL BUILDINGS,# OF NON-RESIDENTIAL BUILDINGS,# OF STAIRHALLS,# OF STORIES,TOTAL AREA - SQ. FT.,ACRES,NET DEV. AREA - SQ. FT.,(EXCLUDING PARK) ACRES,BLDG. COVERAGE - SQ. FT.,CUBAGE - CU. FT.,BLDG/LAND COVERAGE - %,DENSITY (POPULATION/ACRE),DEVELOPMENT COST,COST PER RENTAL ROOM (AS BUILT),AVG. MONTHLY GROSS RENT,LOCATION,BOROUGH,COMMUNITY DISTRICT,US CONGRESSIONAL DISTRICT,NEW YORK STATE SENATE DISTRICT,NEW YORK STATE ASSEMBLY DISTRICT,NEW YORK CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,# OF FAMILIES ON FIXED INCOME,% OF FAMILIES ON FIXED INCOME,YEAR
NY005012430,271,243,390,353,NY005195,BORINQUEN PLAZA II,TURNKEY,NEW CONST,,,425,425,"2,265.5",5.33,,"1,123","1,123",7,0,7,7,"184,000",4.22,"184,000",4.22,"61,115","4,223,000",33.21%,266,"$16,411,918","$7,244",$612,BOERUM ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,12/31/1975,,,,,149,35.1%,2019
NY005020460,046,046,637,637,NY005369,BOULEVARD,CONVENTIONAL,NEW CONST,,438,"1,424","1,441","5,992.0",4.21,846,"1,850","2,696",18,0,30,6-14,"1,127,650",25.89,"1,127,650",25.89,"170,051","12,141,094",15.08%,104,"$13,645,438","$2,247",$518,LINDEN BLVD ASHFORD ST WORTMAN AVE SCHENCK AVE,BROOKLYN,5,8,19,60,42,3/22/1951,,,,,581,41.6%,2019
NY005000560,056,056,212,212,NY005011,BREUKELEN,CONVENTIONAL,NEW CONST,,,"1,592","1,595","7,460.0",4.69,,"3,476","3,476",30,2,97,3-7,"2,830,416",64.98,"2,141,741",49.17,"360,423","14,297,000",12.73%,53,"$18,410,273","$2,464",$544,STANLEY AVE FLATLANDS AVE E 103RD ST WILLIAMS AVE,BROOKLYN,18,8,19,"58, 60",42,11/6/1952,,,,,539,34.3%,2019
NY005000650,065,065,213,213,NY005017,BREVOORT,CONVENTIONAL,NEW CONST,,,894,896,"4,187.0",4.68,,"1,918","1,918",13,1,27,7,"751,896",17.26,"687,188",15.78,"121,363","7,735,916",16.14%,111,"$11,831,887","$2,849",$571,BAINBRIDGE ST RALPH AVE FULTON ST PATCHEN AVE,BROOKLYN,3,8,25,55,41,8/10/1955,,,,,330,37.1%,2019
NY005012520,325,252,336,336,NY005277,BROWN,TURNKEY,NEW CONST (ELD),,,200,200,700.0,3.50,,220,220,2,0,2,6,"99,460",2.28,"99,460",2.28,"29,354","1,493,904",29.51%,96,"$13,425,060","$19,179",$368,EASTERN PKWY PROSPECT PL HOPKINSON AVE SAINT MARKS AVE,BROOKLYN,16,8,20,55,41,7/23/1985,,EXCLUSIVELY,YES,,179,90.4%,2019
NY005000160,016,016,512,512,NY005213D,BROWNSVILLE,CONVENTIONAL,NEW CONST,,,"1,336","1,338","6,279.0",4.70,,"3,166","3,166",27,0,46,6-7,"819,997",18.82,"732,841",16.82,"188,564","10,371,638",23.00%,168,"$12,898,000","$2,054",$520,SUTTER AVE DUMONT AVE MOTHER GASTON BLVD ROCKAWAY AVE,BROOKLYN,16,9,20,55,41,4/16/1948,1977/07/01-ATP 1,,,,416,31.6%,2019
NY005020860,086,086,430,430,NY005370,BUSHWICK,CONVENTIONAL,NEW CONST,,209,"1,219","1,220","5,669.5",4.65,555,"2,288","2,843",8,0,8,13-20,"697,736",16.02,"639,260",14.68,"78,768","11,288,105",11.29%,177,"$20,346,000","$3,599",$541,HUMBOLDT ST MOORE ST BUSHWICK AVE FLUSHING AVE,BROOKLYN,1,7,18,53,34,4/1/1960,,,,,499,41.3%,2019
NY005012470,302,247,565,546,NY005222,BUSHWICK II (GROUPS A & C),TURNKEY,NEW CONST,FEDERAL,,299,300,"1,446.5",4.84,,716,716,25,0,25,3,"402,930",9.25,"402,930",9.25,"102,600","3,200,584",25.46%,77,"$20,840,392","$14,235",$607,CENTRAL AVE HARMAN AVE GREEN AVE HALSEY ST,BROOKLYN,4,"7, 8",18,"53, 54","34, 37",7/19/1984,,,YES,,125,41.8%,2019
NY005012470,303,247,566,546,NY005240,BUSHWICK II (GROUPS B & D),TURNKEY,NEW CONST,FEDERAL,,300,300,"1,450.0",4.83,,702,702,25,1,27,3,"440,392",10.11,"440,392",10.11,"102,600","3,200,584",23.30%,69,"$19,608,177","$13,339",$584,GATES AVE WILSON AVE MADISON AVE EVERGREEN AVE,BROOKLYN,4,7,18,"53, 54","34, 37",7/5/1984,,,YES,,121,40.5%,2019
NY005012470,324,247,758,546,NY005263,BUSHWICK II CDA (GROUP E),TURNKEY,NEW CONST,FEDERAL,,276,276,"1,212.0",4.39,,555,555,5,0,37,3,"300,000",6.89,"300,000",6.89,"84,230","2,198,403",28.08%,81,"$20,078,888","$16,539",$543,KNICKERBOCKER AVE WILSON AVE GATES AVE MENAHAN ST,BROOKLYN,4,7,18,53,37,12/10/1986,,,YES,,153,55.8%,2019
NY005011660,166,166,288,288,NY005088,CAREY GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,682,683,"3,095.0",4.54,,"1,632","1,632",3,2,5,15-17,"364,406",8.37,"364,406",8.37,"58,078","6,234,149",15.94%,195,"$16,996,504","$5,476",$486,W 24TH ST NEPTUNE AVE W 22ND ST SURF AVE,BROOKLYN,13,8,23,46,47,11/30/1970,,,,,284,41.9%,2019
NY005011700,094,170,671,671,NY005363,CONEY ISLAND,CONVENTIONAL,NEW CONST,FEDERAL,,530,534,"2,426.0",4.58,,"1,121","1,121",5,0,5,14,"298,874",6.86,"239,429",5.50,"38,119","4,912,800",12.75%,163,"$7,728,534","$3,165",$599,SURF AVE W 32ND ST RIEGELMANN BRDWK W 29TH ST,BROOKLYN,13,8,23,46,47,2/25/1957,1995/07/13-PTA,,,,211,40.1%,2019
NY005011660,239,166,335,288,NY005161,CONEY ISLAND I (SITE 1B),TURNKEY,NEW CONST,FEDERAL,,192,193,952.0,4.96,,512,512,1,0,1,18,"93,061",2.14,"93,061",2.14,"14,078","1,876,990",15.13%,239,"$7,531,412","$7,829",$552,W 20TH ST W 21ST ST SURF AVE MERMAID AVE,BROOKLYN,13,8,23,46,47,5/31/1973,,,,,73,38.2%,2019
NY005011720,238,172,334,334,NY005157,CONEY ISLAND I (SITE 8),TURNKEY,NEW CONST,FEDERAL,,124,125,626.0,5.05,,361,361,1,0,2,14,"61,483",1.41,"61,483",1.41,"11,970","1,187,936",19.47%,256,"$5,853,893","$9,255",$559,W 35TH ST W 36TH ST SURF AVE MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1973,,,,,37,30.6%,2019
NY005011700,216,170,328,278,NY005123,CONEY ISLAND I (SITES 4 & 5),TURNKEY,NEW CONST,FEDERAL,,376,376,"1,879.0",5.00,,"1,029","1,029",1,1,6,17,"187,318",4.30,"187,318",4.30,"38,750","4,017,326",20.69%,239,"$16,603,000","$8,808",$595,MERMAID AVE W 25TH ST SURF AVE W 28TH ST,BROOKLYN,13,8,23,46,47,7/31/1974,,,,,103,27.9%,2019
NY005000690,069,069,223,223,NY005023,COOPER PARK,CONVENTIONAL,NEW CONST,FEDERAL,,700,700,"3,281.0",4.69,,"1,554","1,554",11,0,13,7,"528,967",12.14,"496,296",11.39,"86,767","5,878,957",16.40%,128,"$7,702,277","$2,346",$541,FROST ST MORGAN AVE KINGSLAND AVE MASPETH AVE,BROOKLYN,1,12,18,50,34,6/25/1953,,,,,301,43.4%,2019
NY005013510,312,351,331,765,NY005258,CROWN HEIGHTS,TURNKEY,REHAB,FEDERAL,,121,121,527.5,4.36,,241,241,8,0,8,4,"51,255",1.18,"51,255",1.18,"31,650","1,139,400",61.75%,204,"$7,974,650","$15,118",$625,BUFFALO AVE BERGEN ST RALPH AVE SAINT JOHNS PL,BROOKLYN,8,"8, 9","20, 25","55, 56",41,9/4/1986,,,YES,,33,27.5%,2019
NY005010700,070,070,536,536,NY005220G,CYPRESS HILLS,CONVENTIONAL,NEW CONST,FEDERAL,,"1,439","1,444","6,588.5",4.58,,"3,250","3,250",15,0,30,7,"1,264,130",29.02,"1,264,130",29.02,"223,364","12,338,237",17.67%,112,"$14,773,000","$2,247",$517,SUTTER AVE EUCLID AVE LINDEN BLVD FOUNTAIN AVE,BROOKLYN,5,8,"18, 19",60,42,5/25/1955,1978/07/01-ATP 3,,,,519,36.4%,2019
NY005010700,263,070,378,378,NY005171,EAST NEW YORK CITY LINE,TURNKEY,NEW CONST,FEDERAL,,66,66,409.0,6.20,,258,258,33,0,33,3,"84,400",1.94,"84,400",1.94,"26,943","719,300",31.92%,133,"$2,774,644","$6,784",$633,FOUNTAIN AVE HEGEMAN AVE LOGAN ST,BROOKLYN,5,8,19,60,42,3/31/1976,,,,,19,29.2%,2019
NY005000290,029,029,532,532,NY005220C,FARRAGUT,CONVENTIONAL,NEW CONST,FEDERAL,,"1,389","1,390","6,512.5",4.69,,"3,185","3,185",10,0,10,14,"723,570",16.61,"723,570",16.61,"100,746","11,639,930",13.92%,192,"$15,187,000","$2,324",$532,YORK ST NASSAU ST NAVY ST BRIDGE ST,BROOKLYN,2,8,25,57,35,5/7/1952,1978/07/01-ATP 3,,,,537,38.8%,2019
NY005011670,205,167,322,283,NY005129,FENIMORE-LEFFERTS,TURNKEY,NEW CONST,FEDERAL,,36,36,180.0,5.00,,98,98,18,0,18,2,"33,705",0.77,"33,705",0.77,"20,339","564,300",60.34%,127,"$633,673","$3,520",$741,FENIMORE ST TROY AVE LEFFERTS AVE NOSTRAND AVE,BROOKLYN,9,9,20,43,"40, 41",9/30/1969,,,YES,,12,33.3%,2019
NY005012610,207,261,375,375,NY005188,FIORENTINO PLAZA,CONVENTIONAL,NEW CONST,FEDERAL,,158,160,787.0,4.98,,443,443,8,0,10,4,"95,000",2.18,"95,000",2.18,"42,189","1,916,306",44.41%,203,"$6,138,432","$7,712",$537,GLENMORE AVE VAN SICLEN AVE PITKIN AVE WYONA ST,BROOKLYN,5,8,19,55,37,10/31/1971,,,,,31,19.7%,2019
NY005012520,252,252,381,381,NY005166,GARVEY (GROUP A),CONVENTIONAL,NEW CONST,FEDERAL,,320,321,"1,525.0",4.77,,863,863,3,1,6,"2, 6-14","142,730",3.28,"142,730",3.28,"40,745","3,257,257",28.55%,263,"$12,599,489","$8,168",$563,EAST NEW YORK AVE AMBOY ST PITKIN AVE,BROOKLYN,16,9,20,55,41,2/28/1975,,PARTIALLY,,,124,39.4%,2019
NY005011690,171,169,581,581,NY005267C,GLENMORE PLAZA,CONVENTIONAL,NEW CONST,FEDERAL,,439,440,"1,701.5",3.88,,823,823,4,0,4,10-18-24,"186,180",4.27,"186,180",4.27,"24,838","4,024,811",13.34%,193,"$10,600,000","$6,221",$499,PITKIN AVE GLENMORE AVE WATKINS ST POWELL ST,BROOKLYN,16,8,19,55,37,4/30/1968,1980/07/01-ATP 5,,,,189,44.1%,2019
NY005000440,044,044,584,584,NY005268B,GLENWOOD,CONVENTIONAL,NEW CONST,FEDERAL,,"1,186","1,188","5,207.0",4.39,,"2,512","2,512",20,0,40,6,"975,095",22.39,"915,230",21.01,"183,856","10,242,805",18.86%,112,"$12,907,133","$2,475",$599,E 56TH ST FARRAGUT RD RALPH AVE AVENUE H,BROOKLYN,18,8,21,59,45,7/14/1950,1980/07/01-ATP 6,,,,404,34.4%,2019
NY005000250,025,025,515,515,NY005213G,GOWANUS,CONVENTIONAL,NEW CONST,FEDERAL,,"1,137","1,139","5,436.5",4.78,,"2,669","2,669",15,1,25,4-6-9-13-14,"547,663",12.57,"502,216",11.53,"105,659","9,028,680",19.29%,212,"$11,928,000","$2,203",$556,WYCKOFF ST DOUGLASS ST BOND ST HOYT ST,BROOKLYN,6,7,25,52,33,6/24/1949,1977/07/01-ATP 1,,,,455,40.4%,2019
NY005011720,068,172,225,225,NY005025,GRAVESEND,CONVENTIONAL,NEW CONST,FEDERAL,,627,634,"2,915.5",4.65,,"1,463","1,463",15,0,15,7,"540,725",12.41,"540,725",12.41,"92,855","5,356,500",17.17%,118,"$7,927,996","$2,687",$494,NEPTUNE AVE BAYVIEW AVE W 33RD ST,BROOKLYN,13,8,23,46,47,6/28/1954,,,,,217,35.1%,2019
NY005011660,142,166,589,589,NY005271D,HABER,CONVENTIONAL,NEW CONST (ELD),FEDERAL,,380,380,"1,327.0",3.49,,442,442,3,0,3,14,"134,432",3.09,"134,432",3.09,"23,903","2,547,605",17.78%,143,"$7,494,000","$5,647",$295,W 24TH ST SURF AVE REIGELMANN BRDWLK W 25TH ST,BROOKLYN,13,8,23,46,47,6/30/1965,1980/10/01-ATP 7,EXCLUSIVELY,,,347,92.8%,2019
NY005012470,247,247,546,546,NY005218,HOPE GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,323,324,"1,404.5",4.35,,696,696,4,1,4,7-14,"202,500",4.65,"202,500",4.65,"41,000","351,600",20.25%,150,"$20,632,339","$14,504",$511,LINDEN ST WILSON AVE GROVE ST,BROOKLYN,4,7,18,53,37,8/31/1981,,PARTIALLY,YES,,176,54.7%,2019
NY005000720,072,072,568,568,NY005244A,HOWARD,CONVENTIONAL,NEW CONST,FEDERAL,,813,815,"3,699.5",4.55,,"1,835","1,835",10,0,16,7-13,"664,735",15.26,"621,176",14.26,"87,500","6,943,700",13.16%,120,"$11,359,000","$3,079",$504,EAST NEW YORK AVE MOTHER GASTON BLVD PITKIN AVE ROCKAWAY AVE,BROOKLYN,16,8,20,55,41,12/30/1955,1979/08/01-ATP 4,,,,279,34.8%,2019
NY005013510,339,351,782,765,NY005261,HOWARD AVENUE,TURNKEY,NEW CONST,FEDERAL,,148,150,669.0,4.52,,373,373,5,1,25,3,"132,915",3.05,"132,915",3.05,"50,568","1,536,736",38.05%,122,"$11,464,557","$15,641",$663,EAST NEW YORK AVE GRAFTON ST SUTTER AVE TAPSCOTT ST,BROOKLYN,16,9,20,55,41,8/1/1988,,,YES,,39,26.5%,2019
NY005013510,365,351,551,551,NY005225,HOWARD AVENUE-PARK PLACE,TURNKEY,NEW CONST,FEDERAL,,155,156,776.5,5.01,,449,449,8,0,159,3,"197,563",4.54,"197,563",4.54,"54,978","1,657,275",27.83%,99,"$15,843,706","$20,286",$700,HOWARD AVE STERLING PL EASTERN PKWY SAINT JOHNS PL,BROOKLYN,16,9,"20, 25",55,41,8/31/1994,,,YES,,28,18.2%,2019
NY005011680,168,168,275,275,NY005081,HUGHES APARTMENTS,CONVENTIONAL,NEW CONST,,,509,513,"2,421.5",4.76,,"1,366","1,366",3,1,4,22,"241,990",5.56,"241,990",5.56,"23,502","4,599,540",9.71%,246,"$10,288,064","$4,201",$585,ROCKAWAY AVE MOTHER GASTON BLVD SUTTER AVE BELMONT AVE,BROOKLYN,16,9,20,55,41,6/30/1968,,,,,135,26.8%,2019
NY005010860,109,086,680,680,NY005364,HYLAN,CONVENTIONAL,NEW CONST,,,209,209,933.5,4.47,,456,456,1,0,1,19,"77,658",1.78,"77,658",1.78,"11,403","1,878,400",14.68%,256,"$3,945,608","$4,240",$573,MOORE ST HUMBOLDT ST SEIGEL ST BUSHWICK AVE,BROOKLYN,1,7,18,53,34,6/30/1960,1995/07/13-PTA,,,,82,39.4%,2019
NY005021400,140,234,442,442,NY005376,INDEPENDENCE,CONVENTIONAL,NEW CONST,,155,741,744,"3,333.5",4.50,354,"1,360","1,714",6,0,6,21,"232,000",5.33,"232,000",5.33,"44,685","6,457,003",19.26%,322,"$14,543,000","$4,344",$470,CLYMER ST WILSON ST WYTHE AVE BEDFORD AVE,BROOKLYN,1,7,18,50,33,10/31/1965,,,,,326,44.8%,2019
NY005000140,014,014,510,510,NY005213B,INGERSOLL,CONVENTIONAL,NEW CONST,,,"1,830","1,840","8,698.0",4.75,,"4,198","4,198",20,1,46,6-11,"884,521",20.31,"812,641",18.66,"175,748","10,226,288",17.62%,207,"$12,236,672","$1,681",$577,PARK AVE SAINT EDWARDS ST MYRTLE AVE PRINCE ST,BROOKLYN,2,8,25,57,35,2/24/1944,1977/07/01-ATP 1,,,,493,29.2%,2019
NY005010100,010,010,205,205,NY005006,KINGSBOROUGH,CONVENTIONAL,NEW CONST,,,"1,154","1,165","4,711.0",4.08,,"2,408","2,408",16,0,35,6,"695,544",15.97,"665,526",15.28,"129,189","8,037,853",18.57%,151,"$5,175,100","$1,107",$504,RALPH AVE PACIFIC ST BERGEN ST ROCHESTER AVE,BROOKLYN,"8, 16",8,25,"55, 56",41,10/31/1941,,,,,409,36.5%,2019
NY005010100,161,010,268,205,NY005071,KINGSBOROUGH EXTENSION,CONVENTIONAL,NEW CONST (ELD),,,182,184,637.0,3.50,,203,203,1,0,1,25,"63,254",1.45,"63,254",1.45,"7,110","1,224,082",11.24%,140,"$2,986,383","$4,637",$343,BERGEN ST PACIFIC ST ROCHESTER AVE RALPH AVE,BROOKLYN,8,8,25,56,41,5/31/1966,,EXCLUSIVELY,,,168,92.8%,2019
NY005001220,122,122,247,247,NY005047,LAFAYETTE,CONVENTIONAL,NEW CONST,,,882,882,"4,385.0",4.97,,"2,422","2,422",7,0,7,13-15-20,"334,323",7.68,"304,776",7.00,"58,504","8,369,220",17.50%,315,"$14,689,766","$3,350",$609,LAFAYETTE AVE CLASSON AVE DEKALB AVE FRANKLIN AVE,BROOKLYN,3,8,25,57,35,7/31/1962,,,,,286,32.7%,2019
NY005011670,348,167,763,763,NY005292,LENOX ROAD-ROCKAWAY PARKWAY,TURNKEY,REHAB,,,74,74,327.0,4.42,,166,166,3,0,3,4,"24,000",0.55,"24,000",0.55,"18,791","943,450",78.30%,302,"$4,669,919","$14,281",$627,KINGS HIGHWAY E 98TH ST WILIMOHR ST E 97TH ST,BROOKLYN,17,9,20,"55, 58",41,9/1/1985,,,YES,,18,24.3%,2019
NY005020950,095,095,672,672,NY005377,LINDEN,CONVENTIONAL,NEW CONST,,474,"1,586","1,586","7,311.0",4.61,1298,"2,313","3,611",19,2,21,8-14,"1,299,426",29.83,"1,299,426",29.83,"173,020","14,333,039",13.06%,121,"$20,230,969","$2,767",$563,VERMONT ST STANLEY AVE SCHENCK AVE COZINE AVE,BROOKLYN,5,8,19,60,42,7/17/1958,,,,,582,37.9%,2019
NY005012610,276,261,502,375,NY005201,LONG ISLAND BAPTIST HOUSES,CONVENTIONAL,REHAB,,,229,232,"1,039.5",4.54,,526,526,4,0,4,6,"78,700",1.81,"78,700",1.81,"37,700","2,490,500",47.90%,291,"$11,627,063","$11,010",$540,SUTTER AVE SHEFFIELD AVE DUMONT AVE HINSDALE ST,BROOKLYN,5,8,19,60,42,6/30/1981,,,YES,,63,28.3%,2019
NY005011690,169,169,276,276,NY005082,LOW HOUSES,CONVENTIONAL,NEW CONST,,,534,536,"2,542.0",4.76,,"1,358","1,358",4,0,4,17-18,"256,459",5.89,"256,459",5.89,"45,163","4,802,466",17.61%,231,"$10,312,262","$4,052",$507,SACKMAN ST POWELL ST CHRISTOPHER ST PITKIN AVE,BROOKLYN,16,8,"19, 20",55,41,12/31/1967,,,,,156,29.7%,2019
NY005000210,021,021,514,514,NY005213F,MARCY,CONVENTIONAL,NEW CONST,,,"1,716","1,717","8,268.0",4.82,,"4,147","4,147",27,1,71,6,"1,241,000",28.49,"1,101,547",25.29,"240,198","13,741,160",19.36%,146,"$19,420,000","$2,347",$560,FLUSHING AVE MARCY AVE NOSTRAND AVE MYRTLE AVE,BROOKLYN,3,7,18,56,36,1/19/1949,1977/07/01-ATP 1,,,,607,35.8%,2019
NY005013590,363,359,803,840,NY005300,MARCY AVENUE-GREENE AVENUE SITE A,TURNKEY,NEW CONST,,,48,48,231.0,4.81,,123,123,2,0,7,3,"51,104",1.17,"51,104",1.17,"16,354","434,689",32.00%,105,"$5,042,549","$21,829",$505,GREENE AVE MARCY AVE NOSTRAND AVE LEXINGTON AVE,BROOKLYN,3,8,25,56,36,6/30/1997,,,YES,YES,13,27.7%,2019
NY005013590,358,359,804,840,NY005293,MARCY AVENUE-GREENE AVENUE SITE B,TURNKEY,NEW CONST,,,30,30,145.0,4.83,,76,76,1,0,5,3,"36,926",0.85,"36,926",0.85,"10,081","267,953",27.30%,89,"$3,168,261","$21,850",$582,GREENE AVE MARCY AVE NOSTRAND AVE LEXINGTON AVE,BROOKLYN,3,8,25,56,36,6/30/1997,,,YES,YES,8,26.7%,2019
NY005020830,083,083,426,426,NY005380,MARLBORO,CONVENTIONAL,NEW CONST,,348,"1,764","1,765","8,248.0",4.68,861,"3,251","4,112",28,2,30,7-16,"1,518,505",34.86,"1,471,805",33.79,"202,426","15,183,887",13.33%,118,"$22,429,000","$2,783",$551,STILLWELL AVE AVENUE V 86TH ST AVENUE X,BROOKLYN,13,11,23,"45, 47",47,2/27/1958,,,,,671,38.7%,2019
NY005010360,043,036,585,585,NY005268C,NOSTRAND,CONVENTIONAL,NEW CONST,FEDERAL,,"1,146","1,148","4,966.0",4.33,,"2,327","2,327",16,1,33,6,"1,036,600",23.80,"1,036,600",23.80,"177,223","9,377,365",17.10%,98,"$13,817,794","$2,779",$516,AVENUE V BRAGG ST AVENUE X BATCHELDER ST,BROOKLYN,15,9,19,41,46,12/14/1950,1980/07/01-ATP 6,,,,463,41.0%,2019
NY005011620,162,162,269,269,NY005072,OCEAN HILL APARTMENTS,CONVENTIONAL,NEW CONST,FEDERAL,,238,238,"1,077.0",4.53,,640,640,3,1,4,14,"112,916",2.59,"112,916",2.59,"16,412","2,178,743",14.53%,247,"$4,875,929","$4,527",$684,BROADWAY MACDOUGAL ST MOTHER GASTON BLVD CHERRY ST,BROOKLYN,16,8,18,55,37,3/31/1968,,,,,62,26.6%,2019
NY005013510,313,351,287,765,NY005257,OCEAN HILL-BROWNSVILLE,TURNKEY,REHAB,FEDERAL,,125,125,540.5,4.32,,304,304,5,0,5,4,"242,141",5.56,"242,141",5.56,"78,188","2,000,000",32.29%,55,"$8,068,686","$14,942",$599,RALPH AVE ATLANTIC AVE SARATOGA AVE DEAN ST,BROOKLYN,16,8,25,55,41,11/10/1986,,,YES,,16,13.1%,2019
NY005011720,172,172,582,582,NY005267D,O’DWYER GARDENS,CONVENTIONAL,NEW CONST,FEDERAL,,570,573,"2,204.0",3.87,,947,947,6,1,7,15-16,"276,010",6.34,"276,010",6.34,"34,501","5,421,328",12.50%,149,"$15,000,000","$6,649",$525,W 32ND ST SURF AVE W 35TH ST MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1969,1980/07/01-ATP 5,,,,305,54.4%,2019
NY005012470,195,247,393,393,NY005196,PALMETTO GARDENS,TURNKEY,NEW CONST (ELD),FEDERAL,,113,115,340.5,3.01,,117,117,1,0,1,6,"27,419",0.63,"27,419",0.63,"12,739","750,300",46.46%,186,"$4,584,000","$12,257",$315,PALMETTO ST GATES AVE EVERGREEN AVE BUSHWICK AVE,BROOKLYN,4,8,18,54,34,3/31/1977,,EXCLUSIVELY,,,107,95.5%,2019
NY005013510,351,351,765,765,NY005285,PARK ROCK REHAB,TURNKEY,REHAB,FEDERAL,,134,134,582.0,4.34,,319,319,9,0,9,4,"53,914",1.24,"53,914",1.24,"33,105","166,531",61.40%,257,"$10,500,000","$18,041",$679,BELMONT AVE JEROME ST SUTTER AVE BARBEY ST,BROOKLYN,8,9,"20, 25",55,36,9/1/1986,,,YES,,31,23.5%,2019
NY005011940,194,194,305,305,NY005091,PENNSYLVANIA AVENUE-WORTMAN AVENUE,CONVENTIONAL,NEW CONST,FEDERAL,,336,336,"1,343.0",4.00,,627,627,3,1,3,8-16,"236,930",5.44,"236,930",5.44,"40,998","2,712,190",17.30%,115,"$11,936,021","$8,606",$462,PENNSYLVANIA AVE WORTMAN AVE STANLEY AVE VERMONT ST,BROOKLYN,5,8,19,60,42,9/30/1972,,,,,145,43.8%,2019
NY005000890,089,089,235,235,NY005035,PINK,CONVENTIONAL,NEW CONST,FEDERAL,,"1,500","1,500","7,098.0",4.73,,"3,651","3,651",22,2,25,8,"1,354,844",31.10,"1,311,306",30.10,"193,511","13,316,063",14.28%,117,"$20,134,047","$2,835",$557,CRESCENT ST LINDEN BLVD ELDERTS LA STANLEY AVE,BROOKLYN,5,8,19,60,42,9/30/1959,,,,,471,31.7%,2019
NY005011670,352,167,771,763,NY005290,RALPH AVENUE REHAB,TURNKEY,REHAB,FEDERAL,,118,118,529.0,4.48,,284,284,5,0,5,4,"70,486",1.62,"70,486",1.62,"27,982","3,052,668",39.70%,175,"$6,714,551","$12,693",$574,EAST NEW YORK AVE RALPH AVE SUTTER AVE E 98TH ST,BROOKLYN,16,9,20,55,41,12/23/1986,,,YES,,26,22.0%,2019
NY005000040,004,004,202,202,NY005001,RED HOOK EAST,CONVENTIONAL,NEW CONST,FEDERAL,,"1,404","1,411","5,888.0",4.19,,"2,832","2,832",16,3,51,2-6,"856,003",19.65,"856,003",19.65,"192,198","10,734,477",22.45%,144,,,$525,CLINTON ST LORRAINE ST COLUMBIA ST WEST 9TH ST,BROOKLYN,6,7,25,51,38,11/20/1939,,,,,540,39.6%,2019
NY005000790,079,079,"202 - BLDGS 15-25, 230 - BLDGS 1-4",230,"NY005001 - BLDGS 15-25, NY005029 - BLDGS 1-4",RED HOOK WEST,CONVENTIONAL,NEW CONST,FEDERAL,,"1,471","1,480","6,320.5",4.30,,"3,165","3,165",14,1,50,3-6-14,"841,727",19.32,"841,727",19.32,"169,260","11,454,257",20.11%,164,,,$532,RICHARDS ST LORRAINE ST HICKS ST WEST 9TH ST,BROOKLYN,6,7,25,51,38,11/20/1939,,,,,528,36.9%,2019
NY005011670,167,167,283,283,NY005089,REID APARTMENTS,CONVENTIONAL,NEW CONST (ELD),FEDERAL,,227,230,681.5,3.00,,235,235,1,0,1,20,"68,762",1.58,"68,762",1.58,"13,285","1,397,832",19.32%,149,"$3,910,160","$5,227",$318,TROY AVE ALBANY AVE EAST NEW YORK AVE MAPLE ST,BROOKLYN,9,9,20,43,41,11/30/1969,,EXCLUSIVELY,,,206,92.0%,2019
NY005011350,135,135,227,227,NY005054,ROOSEVELT I,CONVENTIONAL,NEW CONST,FEDERAL,,761,763,"3,575.5",4.70,,"1,814","1,814",6,0,6,14-15-18,"340,000",7.81,"340,000",7.81,"52,168","6,754,320",15.34%,232,"$14,017,427","$3,914",$526,KOSCIUSKO ST PULASKI ST MARCUS GARVEY BLVD STUYVESANT AVE,BROOKLYN,3,8,18,"54, 56",36,9/30/1964,,PARTIALLY,,,323,42.8%,2019
NY005011350,177,135,281,227,NY005083,ROOSEVELT II,CONVENTIONAL,NEW CONST,FEDERAL,,342,342,"1,496.0",4.37,,727,727,3,0,3,14-15,"146,506",3.36,"146,506",3.36,"24,067","2,801,874",16.43%,216,"$6,450,218","$4,312",$538,LEWIS AVE STUYVESANT AVE HART ST PULASKI ST,BROOKLYN,3,8,18,54,36,12/31/1966,,,,,139,41.0%,2019
